"	O	O,A23DPGTXU8VUG2,4914	O,A5EU1AQJNC7F2,2269
Hopefully	O	O,A23DPGTXU8VUG2,7189	O,A5EU1AQJNC7F2,6132
that	O	O,A23DPGTXU8VUG2,8265	O,A5EU1AQJNC7F2,12738
's	O	O,A23DPGTXU8VUG2,9104	O,A5EU1AQJNC7F2,3466
not	O	O,A23DPGTXU8VUG2,11845	O,A5EU1AQJNC7F2,14662
going	O	O,A23DPGTXU8VUG2,12283	O,A5EU1AQJNC7F2,10846
to	O	O,A23DPGTXU8VUG2,12685	O,A5EU1AQJNC7F2,5108
happen	O	O,A23DPGTXU8VUG2,13525	O,A5EU1AQJNC7F2,9267
this	O	O,A23DPGTXU8VUG2,14446	O,A5EU1AQJNC7F2,11750
year	O	O,A23DPGTXU8VUG2,17677	O,A5EU1AQJNC7F2,8332
.	O	O,A23DPGTXU8VUG2,18727	O,A5EU1AQJNC7F2,13861

15,000	O	O,A5EU1AQJNC7F2,1716	O,A23DPGTXU8VUG2,6904
.	O	O,A5EU1AQJNC7F2,2701	O,A23DPGTXU8VUG2,8510

ATHLETICS	O	O,A23DPGTXU8VUG2,2069	O,A5EU1AQJNC7F2,2450
-	O	O,A23DPGTXU8VUG2,3483	O,A5EU1AQJNC7F2,3597
SALAH	PER	PER,A5EU1AQJNC7F2,5764	PER,A23DPGTXU8VUG2,6151
HISSOU	PER	PER,A5EU1AQJNC7F2,6456	PER,A23DPGTXU8VUG2,6656
BREAKS	O	O,A5EU1AQJNC7F2,7263	O,A23DPGTXU8VUG2,7717
10,000	O	O,A23DPGTXU8VUG2,8137	O,A5EU1AQJNC7F2,8910
METRES	O	O,A5EU1AQJNC7F2,9717	O,A23DPGTXU8VUG2,10681
WORLD	LOC	LOC,A5EU1AQJNC7F2,10631	O,A23DPGTXU8VUG2,11009
RECORD	O	O,A23DPGTXU8VUG2,11550	O,A5EU1AQJNC7F2,11766
.	O	O,A23DPGTXU8VUG2,12430	O,A5EU1AQJNC7F2,12934

He	O	O,A5EU1AQJNC7F2,1119	O,A23DPGTXU8VUG2,4831
said	O	O,A5EU1AQJNC7F2,1809	O,A23DPGTXU8VUG2,5478
the	O	O,A5EU1AQJNC7F2,2427	O,A23DPGTXU8VUG2,5895
spirit	O	O,A5EU1AQJNC7F2,3585	O,A23DPGTXU8VUG2,8635
of	O	O,A5EU1AQJNC7F2,4663	O,A23DPGTXU8VUG2,9139
a	O	O,A5EU1AQJNC7F2,4916	O,A23DPGTXU8VUG2,9899
hurricane	O	O,A5EU1AQJNC7F2,5462	O,A23DPGTXU8VUG2,10701
had	O	O,A5EU1AQJNC7F2,6381	O,A23DPGTXU8VUG2,12162
guided	O	O,A5EU1AQJNC7F2,7095	O,A23DPGTXU8VUG2,12492
him	O	O,A5EU1AQJNC7F2,7742	O,A23DPGTXU8VUG2,12804
there	O	O,A5EU1AQJNC7F2,8439	O,A23DPGTXU8VUG2,15575
.	O	O,A5EU1AQJNC7F2,9486	O,A23DPGTXU8VUG2,17957

America	LOC	O,A23DPGTXU8VUG2,1559	LOC,A5EU1AQJNC7F2,1722
,	O	O,A5EU1AQJNC7F2,2468	O,A23DPGTXU8VUG2,2902
however	O	O,A5EU1AQJNC7F2,2830	O,A23DPGTXU8VUG2,3543
,	O	O,A5EU1AQJNC7F2,3302	O,A23DPGTXU8VUG2,4036
is	O	O,A5EU1AQJNC7F2,3613	O,A23DPGTXU8VUG2,4585
looking	O	O,A5EU1AQJNC7F2,3855	O,A23DPGTXU8VUG2,4851
a	O	O,A5EU1AQJNC7F2,4736	O,A23DPGTXU8VUG2,5160
little	O	O,A5EU1AQJNC7F2,5131	O,A23DPGTXU8VUG2,5699
better	O	O,A5EU1AQJNC7F2,5438	O,A23DPGTXU8VUG2,5959
,	O	O,A5EU1AQJNC7F2,5941	O,A23DPGTXU8VUG2,6358
"	O	O,A5EU1AQJNC7F2,6406	O,A23DPGTXU8VUG2,6666
he	O	O,A23DPGTXU8VUG2,6951	O,A5EU1AQJNC7F2,7059
said	O	O,A23DPGTXU8VUG2,7478	O,A5EU1AQJNC7F2,8156
.	O	O,A23DPGTXU8VUG2,8072	O,A5EU1AQJNC7F2,8929

Russia	LOC	LOC,A5EU1AQJNC7F2,2409	LOC,A23DPGTXU8VUG2,4439
to	O	O,A5EU1AQJNC7F2,3115	O,A23DPGTXU8VUG2,4870
clamp	O	O,A5EU1AQJNC7F2,3642	O,A23DPGTXU8VUG2,5144
down	O	O,A5EU1AQJNC7F2,3842	O,A23DPGTXU8VUG2,5555
on	O	O,A5EU1AQJNC7F2,4066	O,A23DPGTXU8VUG2,6076
